1. 基础空投(权重7):
地址,数量
0x58ad4d94b300e840cc6ecb112ef99a0ef445f9c3,8.8050
0xacee73699e77d7f74d58671145c9ea1e507bc455,8.8050
0x1c81cd4712a7d3187b88b041078112a0359b12d1,8.8050
0x6ed65ffbbb12d760d94348871dcd11e53c52dbd2,8.8050
0x42ecdb8780cc2f5e9d3c114f20b80caf40258c45,8.8050
0x78190ae7aa541c71e796ee9ba2442adef739e60b,8.8050
0x237717501155742d9b2b7008e00af905f0836c64,8.8050
0x326dcb6536578f310de8e2c32f31d583ac226e29,8.8050
0x6af3c7bbdd6cc9a9f0fb73e26bf8712fb5b2db33,8.8050
0xe5795b584462f480ff6d613a7d54b7633f0bba70,8.8050
0xb1f45c34da541e44dd3561c75cc32cbc362d8297,8.8050
0x331562c79e024f6acfe0e8e8cb63b483a06d5008,8.8050
0xe5009125949c61c9f6b183e9f516004edc673764,8.8050
0x85a32e0ae042fcc7e86932b74701e681dd72318f,8.8050
0xaf94aa42680a6a26b0fc72f0cd77fd654e122f4e,8.8050
0xfbbb5d893fdb902f30609c360689feee25aed65e,8.8050
0x8f5336152555916115e68d363d9085e252ffc0bc,8.8050
0x4276a4bcb40ab0bc6637c63a7d32231e90790a9e,8.8050
0xbb0e6475e66625205295dbdeff27d3f80003ec8a,8.8050
0x53c99b6e392b7adb4d2e3bbddc004a0f9cbcc363,8.8050
0x6a7ef1f7d8683a4ca7ec222c37112a63a653fcc4,8.8050
0x4ccc8bc5c5d766a7649ff162905c0c4c9928ad05,8.8050
0x0e6aeec71a1b847e13997f8eb527c4c6d6a61b44,8.8050
0x0e04bedb3ec428e77a065ccc0d2db0150304f66e,8.8050
0xa76b8a72e6b796b8192a6d2055a974cef2ad4abd,8.8050
0xf471aba4b9deb4f4d4376f333804f7168860beab,8.8050
0x6701369e008e8423728efdcea992d20484c643e2,8.8050
0xce8f9d259b4089c8a1ce4691bb3e6359562d5a62,8.8050
0xeaaf1a7a05dc4a102272baa06ca8635bfd47e17e,8.8050
0x5802e5d553626a9bf445866cff6f6eedd57551ee,8.8050
0x073bb7af546f0628ed5a74c103bdee7979a42c5f,8.8050
0x3b68155c06a065b6bfda6aa9099039154de441e3,8.8050
0x2efd9542f93c6e1f5c84d9d5c5e5002d233e3ca5,8.8050
0xc26ce2c99ca044bb8afcbc8bec2f03a431432ff5,8.8050
0xa449bb3469498ee9535824d7357ac96f9e9da4cd,8.8050
0xa4162612343be588520426f3335536314fbfb749,8.8050
0x5e9cab26d3402e697b337c7e527d7455e6f1e3b2,8.8050
0xa77759d4830df3508b9fe923657846c3f0829889,8.8050
0x066341a8f80cd7af15b3b7e66345017226e18656,8.8050
0xc7ee9efc5d432071f2a2ea030fde023e9601f984,8.8050
0x418c8c1b0e2250fdc232874d6d4aea33ed4b4a5d,8.8050
0x2e4e76afebf20a3551c245db657a03fb1b0540ed,8.8050
0x86bb6fbde99607fc4beaaff96407efbcf50ca502,8.8050
0x145b2e6100570ef559eb6c8e751b906203bbbb60,8.8050
0x5187dc454d6754d3c709fd3982d99d82bf5bbb7f,8.8050
0x1ae9ede69c33d137c608b8a4f874cf6f970a8a77,8.8050
0x405b161779cf9d07be919acb77c3bd0417d941f5,8.8050
0x7f7856d3013054b8ef1cff50d782690d2c01f7a0,8.8050
0x1bcba597d56beb2d42c091064c524f5868642125,8.8050
0x7d1bb314658bf1cfac36dab8706722b72054d515,8.8050
0xc7ea777f6faaab9d4a6424e66a2c07d4836f56fb,8.8050
0xcee59a352ad1211dc0dc9eac5565781954e3b736,8.8050
0x300cf334523e53d96e83375906a3a77515b15515,8.8050
0x8bd09861caefe8661509378340afd504f892d4a1,8.8050
0x27bfe99ffd36a587713651457287c7f1e557f266,8.8050
0x9a6b81e80bc3661d640e8201ca3f4a6a5cd1fe17,8.8050
0x2344cfc2dc0a0d607c84576878b56b9dae623f24,8.8050
0xcb679259e0ecdd718c07f2e8692740f248bbd90e,8.8050
0xe94bc642d5a817da040331de83d0d2a5c4164cc2,8.8050
0x2227033b6572722ae1bbe4d3354be41d76ccd5fe,8.8050
0x88cfa2584cfa4c298c1fc3347cae637de6d05c71,8.8050
0x3785eea65f0a15cc1e5398b729f580b16ccc4309,8.8050
0x3000ac81a112626d1f7701e0dcfbb822ce9e858a,8.8050
0x8b4fe4105a8489f7f88f83ba249c1fea4d90b111,8.8050
0x6d9beb7bb6996dbdf0adc466e544dc29e1203306,8.8050
0x051719e69cc6e8870919ecaf30a4ea9edbe679b2,8.8050
0xc2b12eb54ff95445e8da7aca26928fefdb1dbf0c,8.8050
0x26a9326b381837366ed0c0ae11b7d2be9e821f07,8.8050
0xd1ac27e4be8af1b88b1957f7ddbdeb966d525346,8.8050
0x64b9b83b774214ad72e4f47f8d764d8c58a2ac05,8.8050
0xf8ef0e1ebcafe89af6d70e3defa84c819bf9145c,8.8050
0x5d0488bb6bf73838c5991819356b94971b66110d,8.8050
0xb31cc0c99e0628e3bf379ab2756484c3f846f1ac,8.8050
0xa333592d2c2b7b53b707b538a216b62d3519019a,8.8050
0x62ffabcd1df685f6ab7d3b36ade6e7a12ab72611,8.8050
0x7199aefd999bdec1d454e4f09d1fc059f06c67bc,8.8050
0xa8184e4f98b35ca4cc9f29dcf313fe1ea59efff1,8.8050
0x67f044a6ac05d9285cdbc9c07c0429d57c1a8f5d,8.8050
0x91728f21f73955efb00cbfce87bb38e63ea8ef26,8.8050
0x020b27691329b925fe1e996460414a80082a240a,8.8050

2. 直接推荐奖励(权重2):
地址,数量
0xf8ef0e1ebcafe89af6d70e3defa84c819bf9145c,55.3459
0x3b68155c06a065b6bfda6aa9099039154de441e3,30.1887
0x2227033b6572722ae1bbe4d3354be41d76ccd5fe,22.6415
0x6701369e008e8423728efdcea992d20484c643e2,20.1258
0x405b161779cf9d07be919acb77c3bd0417d941f5,17.6101
0x4276a4bcb40ab0bc6637c63a7d32231e90790a9e,12.5786
0x3785eea65f0a15cc1e5398b729f580b16ccc4309,12.5786
0x1ae9ede69c33d137c608b8a4f874cf6f970a8a77,7.5472
0xa333592d2c2b7b53b707b538a216b62d3519019a,7.5472
0x237717501155742d9b2b7008e00af905f0836c64,5.0314
0xb31cc0c99e0628e3bf379ab2756484c3f846f1ac,5.0314
0x62ffabcd1df685f6ab7d3b36ade6e7a12ab72611,2.5157

3. 间接推荐奖励(权重1):
地址,数量
0x3b68155c06a065b6bfda6aa9099039154de441e3,64.1509
0x3785eea65f0a15cc1e5398b729f580b16ccc4309,16.3522
0x1ae9ede69c33d137c608b8a4f874cf6f970a8a77,6.2893
0xb31cc0c99e0628e3bf379ab2756484c3f846f1ac,6.2893
0xf8ef0e1ebcafe89af6d70e3defa84c819bf9145c,3.7736

4. 每个地址获得的总代币:
地址,数量
0x3b68155c06a065b6bfda6aa9099039154de441e3,103.1446
0xf8ef0e1ebcafe89af6d70e3defa84c819bf9145c,67.9245
0x3785eea65f0a15cc1e5398b729f580b16ccc4309,37.7358
0x2227033b6572722ae1bbe4d3354be41d76ccd5fe,31.4465
0x6701369e008e8423728efdcea992d20484c643e2,28.9308
0x405b161779cf9d07be919acb77c3bd0417d941f5,26.4151
0x1ae9ede69c33d137c608b8a4f874cf6f970a8a77,22.6415
0x4276a4bcb40ab0bc6637c63a7d32231e90790a9e,21.3836
0xb31cc0c99e0628e3bf379ab2756484c3f846f1ac,20.1257
0xa333592d2c2b7b53b707b538a216b62d3519019a,16.3522
0x237717501155742d9b2b7008e00af905f0836c64,13.8364
0x62ffabcd1df685f6ab7d3b36ade6e7a12ab72611,11.3207
0x58ad4d94b300e840cc6ecb112ef99a0ef445f9c3,8.805
0xacee73699e77d7f74d58671145c9ea1e507bc455,8.805
0x1c81cd4712a7d3187b88b041078112a0359b12d1,8.805
0x6ed65ffbbb12d760d94348871dcd11e53c52dbd2,8.805
0x42ecdb8780cc2f5e9d3c114f20b80caf40258c45,8.805
0x78190ae7aa541c71e796ee9ba2442adef739e60b,8.805
0x326dcb6536578f310de8e2c32f31d583ac226e29,8.805
0x6af3c7bbdd6cc9a9f0fb73e26bf8712fb5b2db33,8.805
0xe5795b584462f480ff6d613a7d54b7633f0bba70,8.805
0xb1f45c34da541e44dd3561c75cc32cbc362d8297,8.805
0x331562c79e024f6acfe0e8e8cb63b483a06d5008,8.805
0xe5009125949c61c9f6b183e9f516004edc673764,8.805
0x85a32e0ae042fcc7e86932b74701e681dd72318f,8.805
0xaf94aa42680a6a26b0fc72f0cd77fd654e122f4e,8.805
0xfbbb5d893fdb902f30609c360689feee25aed65e,8.805
0x8f5336152555916115e68d363d9085e252ffc0bc,8.805
0xbb0e6475e66625205295dbdeff27d3f80003ec8a,8.805
0x53c99b6e392b7adb4d2e3bbddc004a0f9cbcc363,8.805
0x6a7ef1f7d8683a4ca7ec222c37112a63a653fcc4,8.805
0x4ccc8bc5c5d766a7649ff162905c0c4c9928ad05,8.805
0x0e6aeec71a1b847e13997f8eb527c4c6d6a61b44,8.805
0x0e04bedb3ec428e77a065ccc0d2db0150304f66e,8.805
0xa76b8a72e6b796b8192a6d2055a974cef2ad4abd,8.805
0xf471aba4b9deb4f4d4376f333804f7168860beab,8.805
0xce8f9d259b4089c8a1ce4691bb3e6359562d5a62,8.805
0xeaaf1a7a05dc4a102272baa06ca8635bfd47e17e,8.805
0x5802e5d553626a9bf445866cff6f6eedd57551ee,8.805
0x073bb7af546f0628ed5a74c103bdee7979a42c5f,8.805
0x2efd9542f93c6e1f5c84d9d5c5e5002d233e3ca5,8.805
0xc26ce2c99ca044bb8afcbc8bec2f03a431432ff5,8.805
0xa449bb3469498ee9535824d7357ac96f9e9da4cd,8.805
0xa4162612343be588520426f3335536314fbfb749,8.805
0x5e9cab26d3402e697b337c7e527d7455e6f1e3b2,8.805
0xa77759d4830df3508b9fe923657846c3f0829889,8.805
0x066341a8f80cd7af15b3b7e66345017226e18656,8.805
0xc7ee9efc5d432071f2a2ea030fde023e9601f984,8.805
0x418c8c1b0e2250fdc232874d6d4aea33ed4b4a5d,8.805
0x2e4e76afebf20a3551c245db657a03fb1b0540ed,8.805
0x86bb6fbde99607fc4beaaff96407efbcf50ca502,8.805
0x145b2e6100570ef559eb6c8e751b906203bbbb60,8.805
0x5187dc454d6754d3c709fd3982d99d82bf5bbb7f,8.805
0x7f7856d3013054b8ef1cff50d782690d2c01f7a0,8.805
0x1bcba597d56beb2d42c091064c524f5868642125,8.805
0x7d1bb314658bf1cfac36dab8706722b72054d515,8.805
0xc7ea777f6faaab9d4a6424e66a2c07d4836f56fb,8.805
0xcee59a352ad1211dc0dc9eac5565781954e3b736,8.805
0x300cf334523e53d96e83375906a3a77515b15515,8.805
0x8bd09861caefe8661509378340afd504f892d4a1,8.805
0x27bfe99ffd36a587713651457287c7f1e557f266,8.805
0x9a6b81e80bc3661d640e8201ca3f4a6a5cd1fe17,8.805
0x2344cfc2dc0a0d607c84576878b56b9dae623f24,8.805
0xcb679259e0ecdd718c07f2e8692740f248bbd90e,8.805
0xe94bc642d5a817da040331de83d0d2a5c4164cc2,8.805
0x88cfa2584cfa4c298c1fc3347cae637de6d05c71,8.805
0x3000ac81a112626d1f7701e0dcfbb822ce9e858a,8.805
0x8b4fe4105a8489f7f88f83ba249c1fea4d90b111,8.805
0x6d9beb7bb6996dbdf0adc466e544dc29e1203306,8.805
0x051719e69cc6e8870919ecaf30a4ea9edbe679b2,8.805
0xc2b12eb54ff95445e8da7aca26928fefdb1dbf0c,8.805
0x26a9326b381837366ed0c0ae11b7d2be9e821f07,8.805
0xd1ac27e4be8af1b88b1957f7ddbdeb966d525346,8.805
0x64b9b83b774214ad72e4f47f8d764d8c58a2ac05,8.805
0x5d0488bb6bf73838c5991819356b94971b66110d,8.805
0x7199aefd999bdec1d454e4f09d1fc059f06c67bc,8.805
0xa8184e4f98b35ca4cc9f29dcf313fe1ea59efff1,8.805
0x67f044a6ac05d9285cdbc9c07c0429d57c1a8f5d,8.805
0x91728f21f73955efb00cbfce87bb38e63ea8ef26,8.805
0x020b27691329b925fe1e996460414a80082a240a,8.805

总计发放token数量: 999.9974
